episode:188, score:28.601292160000003, epsilon:0.9933832000002178, global step:27351, avg_qmax:0.03616041433262197, memory:20000
episode:189, score:7.19567872, epsilon:0.9932410000002225, global step:27509, avg_qmax:0.036522252367267125, memory:20000
episode:190, score:5.90125312, epsilon:0.9931141000002267, global step:27650, avg_qmax:0.02944017471151149, memory:20000
episode:191, score:6.409066240000001, epsilon:0.9929935000002307, global step:27784, avg_qmax:0.03532829733370845, memory:20000
episode:192, score:5.7817676800000015, epsilon:0.9928702000002347, global step:27921, avg_qmax:0.029242631809337297, memory:20000
episode:193, score:4.233435520000001, epsilon:0.9927838000002376, global step:28017, avg_qmax:0.03682368349594375, memory:20000
episode:194, score:7.572389760000004, epsilon:0.9926290000002427, global step:28189, avg_qmax:0.036527365965898645, memory:20000
episode:195, score:7.5740492800000006, epsilon:0.9924859000002474, global step:28348, avg_qmax:0.033171883274642926, memory:20000
episode:196, score:7.036364800000002, epsilon:0.9923410000002522, global step:28509, avg_qmax:0.028351149990321685, memory:20000
episode:197, score:4.61512512, epsilon:0.9922438000002554, global step:28617, avg_qmax:0.03290337627684629, memory:20000
episode:198, score:6.42068288, epsilon:0.99210160000026, global step:28775, avg_qmax:0.03948222320008127, memory:20000
episode:199, score:5.8332128, epsilon:0.9919738000002642, global step:28917, avg_qmax:0.03179578094835013, memory:20000
episode:200, score:7.50434944, epsilon:0.9918181000002694, global step:29090, avg_qmax:0.03456066671565089, memory:20000
episode:201, score:6.443916159999999, epsilon:0.9916876000002737, global step:29235, avg_qmax:0.03370845764875412, memory:20000
episode:202, score:5.989207680000002, epsilon:0.9915715000002775, global step:29364, avg_qmax:0.0329916842224062, memory:20000
episode:203, score:6.355961600000002, epsilon:0.9914509000002815, global step:29498, avg_qmax:0.029110024446871743, memory:20000
episode:204, score:6.077162240000002, epsilon:0.9913348000002853, global step:29627, avg_qmax:0.03486146676794503, memory:20000
episode:205, score:7.049640960000002, epsilon:0.9911791000002904, global step:29800, avg_qmax:0.03600862740695132, memory:20000
episode:206, score:4.52717056, epsilon:0.9910819000002936, global step:29908, avg_qmax:0.03707062977331656, memory:20000
episode:207, score:5.08476928, epsilon:0.9909811000002969, global step:30020, avg_qmax:0.03343569324351847, memory:20000
episode:208, score:5.557732480000003, epsilon:0.9908488000003013, global step:30167, avg_qmax:0.06367404110172167, memory:20000
episode:209, score:6.22983808, epsilon:0.9907336000003051, global step:30295, avg_qmax:0.06433375264168717, memory:20000
episode:210, score:5.989207680000002, epsilon:0.990615700000309, global step:30426, avg_qmax:0.06819720134025312, memory:20000
episode:211, score:5.645687040000001, epsilon:0.990492400000313, global step:30563, avg_qmax:0.0628155840520006, memory:20000
episode:212, score:6.221540480000002, epsilon:0.9903529000003176, global step:30718, avg_qmax:0.06596897460760609, memory:20000
